Ticket #ID,Începând de la a câta piesa este linie?,Începând de la a câta piesă este Bingo?,Song 1,Song 2,Song 3,Song 4,Song 5,Song 6,Song 7,Song 8,Song 9
1,15,23,16. Dance Again,15. Let's Get Loud,13. Bad Romance,23. Acele,9. The Winner Takes It All,5. Titi Me Pregunto,19. Limousine,8. High Hopes,21. Inainte Sa Ne Fi Nascut
2,18,22,18. Crying in the Club,16. Dance Again,17. One Day,8. High Hopes,4. Fire,21. Inainte Sa Ne Fi Nascut,12. L'enfer,22. Imperfect,9. The Winner Takes It All
3,14,22,2. Ten Seconds to Love,18. Crying in the Club,5. Titi Me Pregunto,1. Ultima noapte de dragoste,6. Lush Life,14. Young and Beautiful,20. Caliente,22. Imperfect,10. Love in Slow Motion
4,12,21,6. Lush Life,2. Ten Seconds to Love,12. L'enfer,9. The Winner Takes It All,14. Young and Beautiful,15. Let's Get Loud,21. Inainte Sa Ne Fi Nascut,19. Limousine,1. Ultima noapte de dragoste
5,12,22,20. Caliente,22. Imperfect,18. Crying in the Club,19. Limousine,4. Fire,21. Inainte Sa Ne Fi Nascut,9. The Winner Takes It All,12. L'enfer,2. Ten Seconds to Love
6,14,20,20. Caliente,7. Picatura de cerneala,19. Limousine,5. Titi Me Pregunto,15. Let's Get Loud,17. One Day,3. Lav Stori,1. Ultima noapte de dragoste,14. Young and Beautiful
7,12,23,15. Let's Get Loud,6. Lush Life,7. Picatura de cerneala,23. Acele,17. One Day,12. L'enfer,5. Titi Me Pregunto,14. Young and Beautiful,2. Ten Seconds to Love
8,7,23,8. High Hopes,13. Bad Romance,21. Inainte Sa Ne Fi Nascut,4. Fire,3. Lav Stori,7. Picatura de cerneala,23. Acele,2. Ten Seconds to Love,5. Titi Me Pregunto
9,17,23,13. Bad Romance,21. Inainte Sa Ne Fi Nascut,4. Fire,18. Crying in the Club,23. Acele,14. Young and Beautiful,3. Lav Stori,22. Imperfect,17. One Day
10,7,23,6. Lush Life,4. Fire,7. Picatura de cerneala,1. Ultima noapte de dragoste,20. Caliente,9. The Winner Takes It All,17. One Day,23. Acele,3. Lav Stori
11,18,21,15. Let's Get Loud,14. Young and Beautiful,21. Inainte Sa Ne Fi Nascut,11. K La Meteo,18. Crying in the Club,20. Caliente,19. Limousine,1. Ultima noapte de dragoste,5. Titi Me Pregunto
12,12,22,12. L'enfer,1. Ultima noapte de dragoste,3. Lav Stori,8. High Hopes,15. Let's Get Loud,14. Young and Beautiful,22. Imperfect,10. Love in Slow Motion,9. The Winner Takes It All
13,16,23,10. Love in Slow Motion,14. Young and Beautiful,17. One Day,18. Crying in the Club,16. Dance Again,8. High Hopes,23. Acele,9. The Winner Takes It All,20. Caliente
14,9,22,16. Dance Again,6. Lush Life,5. Titi Me Pregunto,12. L'enfer,18. Crying in the Club,9. The Winner Takes It All,19. Limousine,22. Imperfect,3. Lav Stori
15,13,21,21. Inainte Sa Ne Fi Nascut,17. One Day,8. High Hopes,6. Lush Life,4. Fire,13. Bad Romance,20. Caliente,18. Crying in the Club,5. Titi Me Pregunto
16,14,20,15. Let's Get Loud,17. One Day,13. Bad Romance,8. High Hopes,10. Love in Slow Motion,20. Caliente,5. Titi Me Pregunto,2. Ten Seconds to Love,14. Young and Beautiful
17,11,21,21. Inainte Sa Ne Fi Nascut,11. K La Meteo,12. L'enfer,14. Young and Beautiful,7. Picatura de cerneala,2. Ten Seconds to Love,5. Titi Me Pregunto,10. Love in Slow Motion,13. Bad Romance
18,17,22,10. Love in Slow Motion,20. Caliente,13. Bad Romance,11. K La Meteo,16. Dance Again,17. One Day,18. Crying in the Club,22. Imperfect,9. The Winner Takes It All
19,10,23,3. Lav Stori,10. Love in Slow Motion,6. Lush Life,15. Let's Get Loud,14. Young and Beautiful,18. Crying in the Club,23. Acele,22. Imperfect,7. Picatura de cerneala
20,14,22,17. One Day,11. K La Meteo,14. Young and Beautiful,15. Let's Get Loud,21. Inainte Sa Ne Fi Nascut,3. Lav Stori,22. Imperfect,20. Caliente,12. L'enfer
21,6,22,5. Titi Me Pregunto,3. Lav Stori,6. Lush Life,14. Young and Beautiful,20. Caliente,10. Love in Slow Motion,11. K La Meteo,22. Imperfect,18. Crying in the Club
22,18,23,18. Crying in the Club,17. One Day,3. Lav Stori,23. Acele,1. Ultima noapte de dragoste,11. K La Meteo,2. Ten Seconds to Love,22. Imperfect,21. Inainte Sa Ne Fi Nascut
23,17,22,10. Love in Slow Motion,7. Picatura de cerneala,17. One Day,20. Caliente,9. The Winner Takes It All,3. Lav Stori,11. K La Meteo,22. Imperfect,19. Limousine
24,17,23,1. Ultima noapte de dragoste,16. Dance Again,21. Inainte Sa Ne Fi Nascut,5. Titi Me Pregunto,23. Acele,13. Bad Romance,17. One Day,18. Crying in the Club,10. Love in Slow Motion
25,17,23,23. Acele,6. Lush Life,13. Bad Romance,9. The Winner Takes It All,20. Caliente,8. High Hopes,11. K La Meteo,4. Fire,17. One Day
26,16,22,22. Imperfect,19. Limousine,9. The Winner Takes It All,11. K La Meteo,6. Lush Life,16. Dance Again,17. One Day,21. Inainte Sa Ne Fi Nascut,20. Caliente
27,12,22,11. K La Meteo,14. Young and Beautiful,19. Limousine,6. Lush Life,18. Crying in the Club,16. Dance Again,12. L'enfer,22. Imperfect,4. Fire
28,15,20,19. Limousine,9. The Winner Takes It All,1. Ultima noapte de dragoste,12. L'enfer,18. Crying in the Club,20. Caliente,7. Picatura de cerneala,15. Let's Get Loud,11. K La Meteo
29,14,21,21. Inainte Sa Ne Fi Nascut,8. High Hopes,11. K La Meteo,5. Titi Me Pregunto,14. Young and Beautiful,4. Fire,13. Bad Romance,6. Lush Life,16. Dance Again
30,8,23,1. Ultima noapte de dragoste,10. Love in Slow Motion,6. Lush Life,9. The Winner Takes It All,23. Acele,7. Picatura de cerneala,4. Fire,21. Inainte Sa Ne Fi Nascut,8. High Hopes
31,14,23,17. One Day,23. Acele,15. Let's Get Loud,14. Young and Beautiful,6. Lush Life,11. K La Meteo,19. Limousine,5. Titi Me Pregunto,22. Imperfect
32,14,22,20. Caliente,17. One Day,8. High Hopes,14. Young and Beautiful,3. Lav Stori,13. Bad Romance,22. Imperfect,11. K La Meteo,16. Dance Again
33,9,23,3. Lav Stori,9. The Winner Takes It All,5. Titi Me Pregunto,18. Crying in the Club,23. Acele,15. Let's Get Loud,13. Bad Romance,2. Ten Seconds to Love,16. Dance Again
34,11,21,2. Ten Seconds to Love,11. K La Meteo,9. The Winner Takes It All,10. Love in Slow Motion,17. One Day,18. Crying in the Club,21. Inainte Sa Ne Fi Nascut,4. Fire,8. High Hopes
35,17,21,4. Fire,2. Ten Seconds to Love,20. Caliente,17. One Day,13. Bad Romance,5. Titi Me Pregunto,12. L'enfer,21. Inainte Sa Ne Fi Nascut,1. Ultima noapte de dragoste
36,17,23,17. One Day,16. Dance Again,13. Bad Romance,5. Titi Me Pregunto,23. Acele,10. Love in Slow Motion,18. Crying in the Club,1. Ultima noapte de dragoste,22. Imperfect
37,13,23,7. Picatura de cerneala,6. Lush Life,21. Inainte Sa Ne Fi Nascut,17. One Day,23. Acele,15. Let's Get Loud,8. High Hopes,2. Ten Seconds to Love,13. Bad Romance
