Ticket #ID,Începând de la a câta piesa este linie?,Începând de la a câta piesă este Bingo?,Song 1,Song 2,Song 3,Song 4,Song 5,Song 6,Song 7,Song 8,Song 9
1,37,45,13. Bubbly,45. ...Baby One More Time,25. Kiss from a Rose,37. Love Don't Cost a Thing,24. I Don't Want to Miss a Thing,9. Umbrella,20. I Will Always Love You,7. Do You Know? (The Ping Pong Song),40. November Rain
2,21,38,21. The Power of Love,38. The Way I Are,37. Love Don't Cost a Thing,6. Hero,26. I Want It That Way,12. My Love (feat. T.I.),14. Forever,20. I Will Always Love You,22. I Want to Know What Love Is
3,28,47,28. Take My Breath Away,20. I Will Always Love You,24. I Don't Want to Miss a Thing,12. My Love (feat. T.I.),1. Halo,47. Harder To Breathe,22. I Want to Know What Love Is,41. La Tortura (feat. Alejandro Sanz),26. I Want It That Way
4,16,39,3. Tattoo,1. Halo,34. Meet Me Halfway,39. Everlong,16. Bleeding Love,23. Iris,5. The Man Who Can't Be Moved,13. Bubbly,22. I Want to Know What Love Is
5,23,45,38. The Way I Are,35. These Words,4. I'm Yours,7. Do You Know? (The Ping Pong Song),25. Kiss from a Rose,23. Iris,45. ...Baby One More Time,10. With You,22. I Want to Know What Love Is
6,18,32,6. Hero,19. Butterfly,32. You're Still The One,15. Wherever You Will Go,7. Do You Know? (The Ping Pong Song),29. As Long as You Love Me,18. Beautiful Soul,3. Tattoo,11. Summer Love
7,39,48,1. Halo,39. Everlong,21. The Power of Love,33. Kiss Me,12. My Love (feat. T.I.),44. A Dios Le Pido,48. Bad Romance,2. Stickwitu,34. Meet Me Halfway
8,27,47,47. Harder To Breathe,45. ...Baby One More Time,30. Truly Madly Deeply,21. The Power of Love,41. La Tortura (feat. Alejandro Sanz),43. Girlfriend,17. The Scientist,27. Angels,20. I Will Always Love You
9,22,46,5. The Man Who Can't Be Moved,44. A Dios Le Pido,18. Beautiful Soul,9. Umbrella,27. Angels,46. Last Request,22. I Want to Know What Love Is,4. I'm Yours,21. The Power of Love
10,14,46,46. Last Request,1. Halo,13. Bubbly,9. Umbrella,36. Aicha,38. The Way I Are,6. Hero,2. Stickwitu,14. Forever
11,14,42,27. Angels,19. Butterfly,10. With You,42. When You Came into My Life,15. Wherever You Will Go,36. Aicha,14. Forever,5. The Man Who Can't Be Moved,1. Halo
12,25,43,25. Kiss from a Rose,11. Summer Love,6. Hero,15. Wherever You Will Go,35. These Words,9. Umbrella,10. With You,43. Girlfriend,26. I Want It That Way
13,28,49,49. The Sweet Escape,32. You're Still The One,22. I Want to Know What Love Is,7. Do You Know? (The Ping Pong Song),15. Wherever You Will Go,31. Fantasy,28. Take My Breath Away,26. I Want It That Way,9. Umbrella
14,32,44,23. Iris,36. Aicha,32. You're Still The One,15. Wherever You Will Go,39. Everlong,16. Bleeding Love,44. A Dios Le Pido,13. Bubbly,7. Do You Know? (The Ping Pong Song)
15,16,45,45. ...Baby One More Time,3. Tattoo,27. Angels,37. Love Don't Cost a Thing,33. Kiss Me,26. I Want It That Way,7. Do You Know? (The Ping Pong Song),16. Bleeding Love,8. Yellow
16,27,42,19. Butterfly,14. Forever,42. When You Came into My Life,38. The Way I Are,17. The Scientist,21. The Power of Love,6. Hero,27. Angels,35. These Words
17,17,34,30. Truly Madly Deeply,26. I Want It That Way,15. Wherever You Will Go,24. I Don't Want to Miss a Thing,19. Butterfly,17. The Scientist,34. Meet Me Halfway,33. Kiss Me,7. Do You Know? (The Ping Pong Song)
18,35,47,23. Iris,40. November Rain,41. La Tortura (feat. Alejandro Sanz),35. These Words,15. Wherever You Will Go,31. Fantasy,45. ...Baby One More Time,29. As Long as You Love Me,47. Harder To Breathe
19,34,49,46. Last Request,36. Aicha,43. Girlfriend,26. I Want It That Way,49. The Sweet Escape,23. Iris,34. Meet Me Halfway,16. Bleeding Love,18. Beautiful Soul
20,24,48,24. I Don't Want to Miss a Thing,5. The Man Who Can't Be Moved,23. Iris,29. As Long as You Love Me,47. Harder To Breathe,20. I Will Always Love You,33. Kiss Me,18. Beautiful Soul,48. Bad Romance
21,36,44,41. La Tortura (feat. Alejandro Sanz),16. Bleeding Love,5. The Man Who Can't Be Moved,35. These Words,23. Iris,36. Aicha,18. Beautiful Soul,44. A Dios Le Pido,4. I'm Yours
22,18,41,13. Bubbly,16. Bleeding Love,18. Beautiful Soul,41. La Tortura (feat. Alejandro Sanz),35. These Words,30. Truly Madly Deeply,33. Kiss Me,26. I Want It That Way,9. Umbrella
23,30,46,43. Girlfriend,24. I Don't Want to Miss a Thing,1. Halo,25. Kiss from a Rose,46. Last Request,31. Fantasy,9. Umbrella,8. Yellow,30. Truly Madly Deeply
24,12,44,30. Truly Madly Deeply,5. The Man Who Can't Be Moved,12. My Love (feat. T.I.),26. I Want It That Way,25. Kiss from a Rose,11. Summer Love,13. Bubbly,44. A Dios Le Pido,1. Halo
25,11,37,27. Angels,22. I Want to Know What Love Is,23. Iris,4. I'm Yours,11. Summer Love,3. Tattoo,1. Halo,37. Love Don't Cost a Thing,33. Kiss Me
26,34,46,44. A Dios Le Pido,46. Last Request,38. The Way I Are,34. Meet Me Halfway,1. Halo,28. Take My Breath Away,7. Do You Know? (The Ping Pong Song),32. You're Still The One,37. Love Don't Cost a Thing
27,29,42,6. Hero,42. When You Came into My Life,27. Angels,22. I Want to Know What Love Is,4. I'm Yours,29. As Long as You Love Me,35. These Words,13. Bubbly,39. Everlong
28,28,44,3. Tattoo,44. A Dios Le Pido,7. Do You Know? (The Ping Pong Song),42. When You Came into My Life,20. I Will Always Love You,31. Fantasy,28. Take My Breath Away,21. The Power of Love,12. My Love (feat. T.I.)
29,26,40,39. Everlong,16. Bleeding Love,7. Do You Know? (The Ping Pong Song),9. Umbrella,3. Tattoo,26. I Want It That Way,21. The Power of Love,40. November Rain,32. You're Still The One
30,32,47,45. ...Baby One More Time,47. Harder To Breathe,8. Yellow,32. You're Still The One,20. I Will Always Love You,23. Iris,5. The Man Who Can't Be Moved,17. The Scientist,46. Last Request
31,15,42,4. I'm Yours,15. Wherever You Will Go,9. Umbrella,19. Butterfly,34. Meet Me Halfway,42. When You Came into My Life,7. Do You Know? (The Ping Pong Song),32. You're Still The One,2. Stickwitu
32,20,41,9. Umbrella,3. Tattoo,20. I Will Always Love You,38. The Way I Are,39. Everlong,25. Kiss from a Rose,27. Angels,41. La Tortura (feat. Alejandro Sanz),14. Forever
33,41,46,42. When You Came into My Life,27. Angels,37. Love Don't Cost a Thing,18. Beautiful Soul,41. La Tortura (feat. Alejandro Sanz),16. Bleeding Love,25. Kiss from a Rose,2. Stickwitu,46. Last Request
34,27,46,40. November Rain,46. Last Request,27. Angels,44. A Dios Le Pido,19. Butterfly,15. Wherever You Will Go,43. Girlfriend,39. Everlong,14. Forever
35,34,47,39. Everlong,3. Tattoo,21. The Power of Love,29. As Long as You Love Me,34. Meet Me Halfway,26. I Want It That Way,47. Harder To Breathe,1. Halo,37. Love Don't Cost a Thing
