Ticket #ID,Începând de la a câta piesa este linie?,Începând de la a câta piesă este Bingo?,Song 1,Song 2,Song 3,Song 4,Song 5,Song 6,Song 7,Song 8,Song 9
1,20,48,1. Rosemary,5. A Thousand Years,23. All Too Well (Taylor's Version),20. Fire On Fire,48. Payphone,2. All of Me,15. I Told You Things,11. Rewrite The Stars,22. Heat Above
2,35,53,8. Mystery of Love,36. New Romantics (Taylor's Version),35. Nonsense,14. PILLOWTALK,41. Dive,7. Let Her Go,53. Next To Me,1. Rosemary,31. Love On Top
3,40,53,1. Rosemary,53. Next To Me,44. Marry You,40. It's Not Living (If It's Not With You),52. Just Give Me A Reason,8. Mystery of Love,14. PILLOWTALK,51. Young and Beautiful,11. Rewrite The Stars
4,27,51,42. Sugar,6. I Wanna Be Yours,22. Heat Above,30. Adore You,36. New Romantics (Taylor's Version),13. That’s So True,12. Another Love,51. Young and Beautiful,27. Beneath Your Beautiful
5,24,50,11. Rewrite The Stars,22. Heat Above,24. Die For You,50. Ordinary,43. Mirrors,39. One Thing,4. Just the Way You Are,3. Perfect,41. Dive
6,24,55,38. Boyfriend,41. Dive,4. Just the Way You Are,3. Perfect,55. Paradise,16. Worldwide,33. Rolling in the Deep,1. Rosemary,24. Die For You
7,25,55,13. That’s So True,14. PILLOWTALK,25. Skin and Bones,55. Paradise,18. Can't Remember to Forget You,50. Ordinary,47. A Sky Full Of Stars,26. Work Song,31. Love On Top
8,33,52,10. Love Someone,33. Rolling in the Deep,3. Perfect,46. Love Me Like You Do,8. Mystery of Love,49. Treat You Better,13. That’s So True,38. Boyfriend,52. Just Give Me A Reason
9,43,53,25. Skin and Bones,43. Mirrors,53. Next To Me,44. Marry You,28. Never Let Me Go,48. Payphone,38. Boyfriend,32. Stay,52. Just Give Me A Reason
10,32,55,55. Paradise,53. Next To Me,40. It's Not Living (If It's Not With You),48. Payphone,34. Levitating,19. Cosmic Love,11. Rewrite The Stars,32. Stay,1. Rosemary
11,25,50,4. Just the Way You Are,33. Rolling in the Deep,9. Grenade,24. Die For You,50. Ordinary,19. Cosmic Love,42. Sugar,35. Nonsense,25. Skin and Bones
12,44,55,24. Die For You,38. Boyfriend,49. Treat You Better,44. Marry You,23. All Too Well (Taylor's Version),55. Paradise,2. All of Me,54. Jealous,5. A Thousand Years
13,33,49,27. Beneath Your Beautiful,16. Worldwide,49. Treat You Better,18. Can't Remember to Forget You,36. New Romantics (Taylor's Version),4. Just the Way You Are,33. Rolling in the Deep,"37. 10,000 Hours",9. Grenade
14,30,51,4. Just the Way You Are,30. Adore You,8. Mystery of Love,48. Payphone,34. Levitating,50. Ordinary,2. All of Me,51. Young and Beautiful,12. Another Love
15,35,54,35. Nonsense,9. Grenade,38. Boyfriend,34. Levitating,8. Mystery of Love,"37. 10,000 Hours",19. Cosmic Love,48. Payphone,54. Jealous
16,40,51,28. Never Let Me Go,40. It's Not Living (If It's Not With You),45. Story of My Life,51. Young and Beautiful,9. Grenade,2. All of Me,6. I Wanna Be Yours,34. Levitating,47. A Sky Full Of Stars
17,21,47,44. Marry You,25. Skin and Bones,23. All Too Well (Taylor's Version),47. A Sky Full Of Stars,26. Work Song,29. Adventure Of A Lifetime,13. That’s So True,7. Let Her Go,21. Can Old Lovers Ever Just Be Friends?
18,31,53,31. Love On Top,51. Young and Beautiful,32. Stay,23. All Too Well (Taylor's Version),49. Treat You Better,12. Another Love,27. Beneath Your Beautiful,24. Die For You,53. Next To Me
19,28,47,29. Adventure Of A Lifetime,2. All of Me,6. I Wanna Be Yours,20. Fire On Fire,1. Rosemary,47. A Sky Full Of Stars,39. One Thing,28. Never Let Me Go,34. Levitating
20,21,37,21. Can Old Lovers Ever Just Be Friends?,9. Grenade,15. I Told You Things,36. New Romantics (Taylor's Version),33. Rolling in the Deep,26. Work Song,"37. 10,000 Hours",31. Love On Top,14. PILLOWTALK
21,29,51,15. I Told You Things,29. Adventure Of A Lifetime,8. Mystery of Love,27. Beneath Your Beautiful,47. A Sky Full Of Stars,16. Worldwide,45. Story of My Life,33. Rolling in the Deep,51. Young and Beautiful
22,37,52,39. One Thing,7. Let Her Go,19. Cosmic Love,52. Just Give Me A Reason,8. Mystery of Love,25. Skin and Bones,28. Never Let Me Go,"37. 10,000 Hours",43. Mirrors
23,27,47,32. Stay,4. Just the Way You Are,25. Skin and Bones,38. Boyfriend,10. Love Someone,46. Love Me Like You Do,33. Rolling in the Deep,27. Beneath Your Beautiful,47. A Sky Full Of Stars
24,34,55,12. Another Love,34. Levitating,55. Paradise,25. Skin and Bones,13. That’s So True,49. Treat You Better,45. Story of My Life,19. Cosmic Love,43. Mirrors
25,33,55,33. Rolling in the Deep,25. Skin and Bones,28. Never Let Me Go,"37. 10,000 Hours",10. Love Someone,48. Payphone,47. A Sky Full Of Stars,55. Paradise,54. Jealous
