Ticket #ID,Începând de la a câta piesa este linie?,Începând de la a câta piesă este Bingo?,Song 1,Song 2,Song 3,Song 4,Song 5,Song 6,Song 7,Song 8,Song 9
1,13,46,33. Time After Time,29. Crazy Little Thing Called Love,15. Hey Jude,18. Sweet Caroline (Live),8. Unchained Melody,46. Poison,2. Can't Help Falling in Love,13. Happy Together,9. When a Man Loves a Woman
2,30,46,11. Can't Take My Eyes Off You,17. I Say a Little Prayer,30. Just the Two of Us,38. Take on Me,22. Mamma Mia,41. Kiss,13. Happy Together,46. Poison,4. Be My Baby
3,37,40,10. Wouldn't It Be Nice,17. I Say a Little Prayer,39. Cheri Cheri Lady,37. I Just Called To Say I Love You,18. Sweet Caroline (Live),1. At Last,35. Still Loving You,40. Nothing's Gonna Change My Love for You,26. Wonderful Tonight
4,18,34,32. Total Eclipse of the Heart,9. When a Man Loves a Woman,1. At Last,13. Happy Together,15. Hey Jude,34. Smooth Operator,2. Can't Help Falling in Love,18. Sweet Caroline (Live),4. Be My Baby
5,14,41,6. Everybody Loves Somebody,12. What a Wonderful World,14. Ain't No Mountain High Enough,34. Smooth Operator,21. Burning Love,9. When a Man Loves a Woman,17. I Say a Little Prayer,41. Kiss,22. Mamma Mia
6,27,40,25. Don't Go Breaking My Heart,17. I Say a Little Prayer,27. More Than a Woman,40. Nothing's Gonna Change My Love for You,33. Time After Time,37. I Just Called To Say I Love You,34. Smooth Operator,6. Everybody Loves Somebody,23. Fernando
7,28,39,18. Sweet Caroline (Live),32. Total Eclipse of the Heart,31. Every Breath You Take,28. You're the One That I Want,26. Wonderful Tonight,1. At Last,10. Wouldn't It Be Nice,2. Can't Help Falling in Love,39. Cheri Cheri Lady
8,21,36,29. Crazy Little Thing Called Love,36. Purple Rain,27. More Than a Woman,18. Sweet Caroline (Live),26. Wonderful Tonight,28. You're the One That I Want,21. Burning Love,15. Hey Jude,8. Unchained Melody
9,26,45,10. Wouldn't It Be Nice,26. Wonderful Tonight,23. Fernando,43. (I've Had) The Time of My Life,14. Ain't No Mountain High Enough,32. Total Eclipse of the Heart,45. I Just Can't Stop Loving You,38. Take on Me,37. I Just Called To Say I Love You
10,16,45,31. Every Breath You Take,35. Still Loving You,16. Dream a Little Dream of Me,41. Kiss,44. The Way You Make Me Feel,12. What a Wonderful World,45. I Just Can't Stop Loving You,22. Mamma Mia,7. LOVE
11,12,45,19. Imagine,26. Wonderful Tonight,42. I Wanna Dance with Somebody,20. Ain't No Sunshine,45. I Just Can't Stop Loving You,24. Somebody To Love,12. What a Wonderful World,10. Wouldn't It Be Nice,"5. Oh, Pretty Woman "
12,21,35,12. What a Wonderful World,26. Wonderful Tonight,32. Total Eclipse of the Heart,35. Still Loving You,28. You're the One That I Want,33. Time After Time,2. Can't Help Falling in Love,1. At Last,21. Burning Love
13,31,46,34. Smooth Operator,46. Poison,39. Cheri Cheri Lady,19. Imagine,4. Be My Baby,40. Nothing's Gonna Change My Love for You,21. Burning Love,31. Every Breath You Take,29. Crazy Little Thing Called Love
14,20,39,14. Ain't No Mountain High Enough,20. Ain't No Sunshine,6. Everybody Loves Somebody,26. Wonderful Tonight,32. Total Eclipse of the Heart,7. LOVE,21. Burning Love,27. More Than a Woman,39. Cheri Cheri Lady
15,27,45,27. More Than a Woman,16. Dream a Little Dream of Me,30. Just the Two of Us,2. Can't Help Falling in Love,29. Crazy Little Thing Called Love,12. What a Wonderful World,21. Burning Love,41. Kiss,45. I Just Can't Stop Loving You
16,30,38,4. Be My Baby,13. Happy Together,38. Take on Me,37. I Just Called To Say I Love You,34. Smooth Operator,18. Sweet Caroline (Live),"5. Oh, Pretty Woman ",10. Wouldn't It Be Nice,30. Just the Two of Us
17,26,38,38. Take on Me,9. When a Man Loves a Woman,2. Can't Help Falling in Love,33. Time After Time,4. Be My Baby,26. Wonderful Tonight,34. Smooth Operator,29. Crazy Little Thing Called Love,8. Unchained Melody
18,21,46,21. Burning Love,13. Happy Together,"5. Oh, Pretty Woman ",30. Just the Two of Us,27. More Than a Woman,44. The Way You Make Me Feel,46. Poison,29. Crazy Little Thing Called Love,36. Purple Rain
19,18,46,9. When a Man Loves a Woman,11. Can't Take My Eyes Off You,18. Sweet Caroline (Live),8. Unchained Melody,29. Crazy Little Thing Called Love,27. More Than a Woman,19. Imagine,10. Wouldn't It Be Nice,46. Poison
20,25,46,17. I Say a Little Prayer,26. Wonderful Tonight,10. Wouldn't It Be Nice,16. Dream a Little Dream of Me,4. Be My Baby,25. Don't Go Breaking My Heart,46. Poison,6. Everybody Loves Somebody,28. You're the One That I Want
21,41,44,15. Hey Jude,17. I Say a Little Prayer,44. The Way You Make Me Feel,21. Burning Love,41. Kiss,38. Take on Me,43. (I've Had) The Time of My Life,19. Imagine,2. Can't Help Falling in Love
22,19,44,16. Dream a Little Dream of Me,39. Cheri Cheri Lady,26. Wonderful Tonight,41. Kiss,3. Stand By Me,44. The Way You Make Me Feel,18. Sweet Caroline (Live),8. Unchained Melody,19. Imagine
23,29,43,23. Fernando,"5. Oh, Pretty Woman ",41. Kiss,11. Can't Take My Eyes Off You,31. Every Breath You Take,9. When a Man Loves a Woman,29. Crazy Little Thing Called Love,27. More Than a Woman,43. (I've Had) The Time of My Life
24,34,46,19. Imagine,45. I Just Can't Stop Loving You,33. Time After Time,21. Burning Love,34. Smooth Operator,30. Just the Two of Us,43. (I've Had) The Time of My Life,8. Unchained Melody,46. Poison
25,24,45,21. Burning Love,34. Smooth Operator,20. Ain't No Sunshine,26. Wonderful Tonight,45. I Just Can't Stop Loving You,11. Can't Take My Eyes Off You,37. I Just Called To Say I Love You,8. Unchained Melody,24. Somebody To Love
26,24,37,23. Fernando,24. Somebody To Love,13. Happy Together,4. Be My Baby,2. Can't Help Falling in Love,32. Total Eclipse of the Heart,36. Purple Rain,37. I Just Called To Say I Love You,29. Crazy Little Thing Called Love
27,25,42,25. Don't Go Breaking My Heart,42. I Wanna Dance with Somebody,26. Wonderful Tonight,6. Everybody Loves Somebody,"5. Oh, Pretty Woman ",40. Nothing's Gonna Change My Love for You,17. I Say a Little Prayer,28. You're the One That I Want,1. At Last
