Ticket #ID,Începând de la a câta piesa este linie?,Începând de la a câta piesă este Bingo?,Song 1,Song 2,Song 3,Song 4,Song 5,Song 6,Song 7,Song 8,Song 9
1,25,37,10. Să nu-mi iei niciodată dragostea,19. Mă întreaba inima,37. Mai stai,25. Scapă-mă de ea,6. Fericirea are chipul tău,12. Cu un picior în rai,21. Iubește-mă,32. Vino la mine,36. Dincolo de noi
2,18,35,4. Cum am ajuns să te iubesc,35. Doar cu tine,7. Drumurile noastre,17. Inimi desenate,23. Îndrăgostit (deși n-am vrut),9. Iubirea schimbă tot,18. De unde vii la ora asta?,3. M-am îndrăgostit numai de ea,24. Cele două cuvinte
3,6,38,2. Două mâini,5. Nebun de alb,6. Fericirea are chipul tău,3. M-am îndrăgostit numai de ea,17. Inimi desenate,4. Cum am ajuns să te iubesc,29. În lipsa mea,38. Paraschivo,21. Iubește-mă
4,24,35,32. Vino la mine,18. De unde vii la ora asta?,28. Secret discret,7. Drumurile noastre,14. Pe aripi de vânt,35. Doar cu tine,21. Iubește-mă,24. Cele două cuvinte,1. Cât de departe
5,19,35,34. Pentru că,4. Cum am ajuns să te iubesc,7. Drumurile noastre,29. În lipsa mea,5. Nebun de alb,35. Doar cu tine,16. Dansează amândoi,19. Mă întreaba inima,21. Iubește-mă
6,18,35,32. Vino la mine,6. Fericirea are chipul tău,28. Secret discret,35. Doar cu tine,15. Până vara viitoare,14. Pe aripi de vânt,13. Ochii ăia verzi,18. De unde vii la ora asta?,31. Noapte caldă
7,29,38,29. În lipsa mea,1. Cât de departe,20. Pământul,10. Să nu-mi iei niciodată dragostea,26. Mi-e sete de tine,38. Paraschivo,31. Noapte caldă,35. Doar cu tine,6. Fericirea are chipul tău
8,20,28,9. Iubirea schimbă tot,5. Nebun de alb,20. Pământul,13. Ochii ăia verzi,21. Iubește-mă,26. Mi-e sete de tine,28. Secret discret,2. Două mâini,19. Mă întreaba inima
9,10,37,32. Vino la mine,37. Mai stai,35. Doar cu tine,20. Pământul,3. M-am îndrăgostit numai de ea,34. Pentru că,"8. Cine, cine",1. Cât de departe,10. Să nu-mi iei niciodată dragostea
10,13,30,25. Scapă-mă de ea,30. Dragostea rămâne,13. Ochii ăia verzi,27. Defectul tău sunt eu,24. Cele două cuvinte,6. Fericirea are chipul tău,20. Pământul,2. Două mâini,5. Nebun de alb
11,23,36,6. Fericirea are chipul tău,23. Îndrăgostit (deși n-am vrut),4. Cum am ajuns să te iubesc,36. Dincolo de noi,32. Vino la mine,3. M-am îndrăgostit numai de ea,33. Ce e dragostea?,2. Două mâini,24. Cele două cuvinte
12,15,32,32. Vino la mine,4. Cum am ajuns să te iubesc,25. Scapă-mă de ea,23. Îndrăgostit (deși n-am vrut),15. Până vara viitoare,1. Cât de departe,28. Secret discret,14. Pe aripi de vânt,10. Să nu-mi iei niciodată dragostea
13,19,37,37. Mai stai,12. Cu un picior în rai,4. Cum am ajuns să te iubesc,30. Dragostea rămâne,24. Cele două cuvinte,19. Mă întreaba inima,35. Doar cu tine,29. În lipsa mea,6. Fericirea are chipul tău
14,20,35,1. Cât de departe,12. Cu un picior în rai,20. Pământul,2. Două mâini,35. Doar cu tine,11. Noi simțim la fel,27. Defectul tău sunt eu,18. De unde vii la ora asta?,19. Mă întreaba inima
15,25,37,11. Noi simțim la fel,30. Dragostea rămâne,14. Pe aripi de vânt,25. Scapă-mă de ea,7. Drumurile noastre,37. Mai stai,18. De unde vii la ora asta?,28. Secret discret,17. Inimi desenate
16,18,38,18. De unde vii la ora asta?,2. Două mâini,5. Nebun de alb,1. Cât de departe,38. Paraschivo,"8. Cine, cine",37. Mai stai,23. Îndrăgostit (deși n-am vrut),27. Defectul tău sunt eu
17,28,36,21. Iubește-mă,36. Dincolo de noi,28. Secret discret,3. M-am îndrăgostit numai de ea,31. Noapte caldă,12. Cu un picior în rai,33. Ce e dragostea?,27. Defectul tău sunt eu,15. Până vara viitoare
18,23,38,14. Pe aripi de vânt,36. Dincolo de noi,27. Defectul tău sunt eu,23. Îndrăgostit (deși n-am vrut),17. Inimi desenate,21. Iubește-mă,35. Doar cu tine,31. Noapte caldă,38. Paraschivo
19,19,36,36. Dincolo de noi,27. Defectul tău sunt eu,19. Mă întreaba inima,23. Îndrăgostit (deși n-am vrut),18. De unde vii la ora asta?,16. Dansează amândoi,34. Pentru că,7. Drumurile noastre,5. Nebun de alb
20,14,38,14. Pe aripi de vânt,23. Îndrăgostit (deși n-am vrut),12. Cu un picior în rai,6. Fericirea are chipul tău,33. Ce e dragostea?,4. Cum am ajuns să te iubesc,13. Ochii ăia verzi,38. Paraschivo,28. Secret discret
21,12,37,30. Dragostea rămâne,35. Doar cu tine,37. Mai stai,2. Două mâini,5. Nebun de alb,12. Cu un picior în rai,33. Ce e dragostea?,19. Mă întreaba inima,24. Cele două cuvinte
22,17,29,17. Inimi desenate,6. Fericirea are chipul tău,12. Cu un picior în rai,3. M-am îndrăgostit numai de ea,10. Să nu-mi iei niciodată dragostea,22. Vals,4. Cum am ajuns să te iubesc,29. În lipsa mea,23. Îndrăgostit (deși n-am vrut)
23,21,37,4. Cum am ajuns să te iubesc,23. Îndrăgostit (deși n-am vrut),2. Două mâini,21. Iubește-mă,27. Defectul tău sunt eu,37. Mai stai,19. Mă întreaba inima,22. Vals,18. De unde vii la ora asta?
24,19,36,9. Iubirea schimbă tot,36. Dincolo de noi,30. Dragostea rămâne,10. Să nu-mi iei niciodată dragostea,3. M-am îndrăgostit numai de ea,19. Mă întreaba inima,20. Pământul,12. Cu un picior în rai,33. Ce e dragostea?
25,14,34,29. În lipsa mea,14. Pe aripi de vânt,6. Fericirea are chipul tău,"8. Cine, cine",1. Cât de departe,34. Pentru că,12. Cu un picior în rai,11. Noi simțim la fel,21. Iubește-mă
